TracePro Surface Property Data
File Name	/io/export.brdf.txt
TracePro Release: 7 0 0
Database Version: 3 3 0
Data generated at 01.01.2020 00:00:00

Name	export
Catalog	brdf_utils
Description
Coating    1
Scatter    5
Interaction    0
Polarization   0
User_Data  1
Solve	BRDF

Temperature	Wavelength	IncAngle	AziAngle	Abso_S	Abso_P	Refl_S	Refl_P	Tran_S	Tran_P	PhaseRefl	PhaseTran	BRDF_A	BRDF_B	BRDF_By	BRDF_g	BRDF_gy	BTDF_A	BTDF_B	BTDF_By	BTDF_g	BTDF_gy
300	0.55	45	0	0.05	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Table_BSDF_Data
Temperature	Wavelength	IncAngle	AziAngle	ScatterBeta	ScatterAzimuth	BRDF	BTDF
300	0.55	45	0	0.0589377	300	0.080059	0	
300	0.55	45	0	0.0589377	310	0.080059	0	
300	0.55	45	0	0.0589377	320	0.080059	0	
300	0.55	45	0	0.0589377	330	0.080059	0	
300	0.55	45	0	0.0589377	340	0.080059	0	
300	0.55	45	0	0.0589377	350	0.080059	0	
300	0.55	45	0	0.1120453	0	0.081137	0	
300	0.55	45	0	0.1120453	10	0.081137	0	
300	0.55	45	0	0.1120453	20	0.081137	0	
300	0.55	45	0	0.1120453	30	0.081137	0	
300	0.55	45	0	0.1120453	40	0.081137	0	
300	0.55	45	0	0.1120453	50	0.081137	0	
300	0.55	45	0	0.1120453	60	0.081137	0	
300	0.55	45	0	0.1120453	70	0.081137	0	
300	0.55	45	0	0.1120453	80	0.081137	0	
300	0.55	45	0	0.1120453	90	0.081137	0	
300	0.55	45	0	0.1120453	100	0.081137	0	
300	0.55	45	0	0.1120453	110	0.081137	0	
300	0.55	45	0	0.1120453	120	0.081137	0	
300	0.55	45	0	0.1120453	130	0.081137	0	
300	0.55	45	0	0.1120453	140	0.081137	0	
300	0.55	45	0	0.1120453	150	0.081137	0	
300	0.55	45	0	0.1120453	160	0.081137	0	
300	0.55	45	0	0.1120453	170	0.081137	0	
300	0.55	45	0	0.1120453	180	0.081137	0	
300	0.55	45	0	0.1120453	190	0.081137	0	
300	0.55	45	0	0.1120453	200	0.081137	0	
300	0.55	45	0	0.1120453	210	0.081137	0	
300	0.55	45	0	0.1120453	220	0.081137	0	
300	0.55	45	0	0.1120453	230	0.081137	0	
300	0.55	45	0	0.1120453	240	0.081137	0	
300	0.55	45	0	0.1120453	250	0.081137	0	
300	0.55	45	0	0.1120453	260	0.081137	0	
300	0.55	45	0	0.1120453	270	0.081137	0	
300	0.55	45	0	0.1120453	280	0.081137	0	
300	0.55	45	0	0.1120453	290	0.081137	0	
300	0.55	45	0	0.1120453	300	0.081137	0	
300	0.55	45	0	0.1120453	310	0.081137	0	
300	0.55	45	0	0.1120453	320	0.081137	0	
300	0.55	45	0	0.1120453	330	0.081137	0	
300	0.55	45	0	0.1120453	340	0.081137	0	
300	0.55	45	0	0.1120453	350	0.081137	0	
300	0.55	45	0	0.1589186	0	0.08127	0	
300	0.55	45	0	0.1589186	10	0.08127	0	
300	0.55	45	0	0.1589186	20	0.08127	0	
300	0.55	45	0	0.1589186	30	0.08127	0	
300	0.55	45	0	0.1589186	40	0.08127	0	
300	0.55	45	0	0.1589186	50	0.08127	0	
300	0.55	45	0	0.1589186	60	0.08127	0	
